store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,initial_cost,interior_cost,average_sales_per_area,business_fee,contract_initial,contract_renewal,standard_store_area
설빙,2020-2023,서울,15.434291372871852,2.825250247563144,108,230,57128706,8333068,48795638,26108962,10922443,10123531,845929,657566,177560,61050,12596,19300,0,0,99
빙달,2020-2023,서울,18.495685822097244,10.76952195544019,17,49,239441,112973,126468,1337438,18095,6559,0,54632,43065,17490,0,11000,0,0,33
요거트아이스크림의정석,2020-2023,서울,43.140606670018435,8.33852857382269,166,69,1897934,941287,956647,5096545,287236,263182,80829,255686,50200,22000,20305,12800,0,0,33
배스킨라빈스,2020-2023,서울,11.272139441859418,2.0425890562340556,257,803,681062389,101530284,579532105,791669387,33858793,33215358,8076344,662486,318850,90000,35539,50450,0,0,83
