store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,initial_cost,interior_cost,average_sales_per_area,business_fee,contract_initial,contract_renewal,standard_store_area
지에스25(GS25),2020-2023,서울,13.884338763263408,6.106805689047768,2679,9180,8218723000,4136191000,4082532000,10886895000,314982000,-24548000,20216000,742281,23030,0,37762,71700,0,0,0
씨스페이스24(CSPACE24),2020-2023,서울,31.595871055080803,29.996074117945682,12,94,9792057,7438177,2353880,56042878,-234012,-190867,38449,226007,104380,28600,16176,37150,0,0,99
아이지에이마트,2020-2023,서울,19.416352877891338,27.70934194011117,-45,96,3591338,1950819,1640519,6106284,-57719,-86474,26455,237185,46300,13200,16956,3300,0,0,46
